Distance,Radar_Strength,Stealth_Required,Decision
450,9,1,Su-57
50,2,0,Su-35
300,8,1,Su-57
100,3,0,Su-35
500,10,1,Su-57
120,1,0,Su-35
250,7,1,Su-57
80,4,0,Su-35
400,6,1,Su-57
150,2,0,Su-35
350,9,1,Su-57
350,3,0,Su-35
60,5,0,Su-35
480,8,1,Su-57
200,3,0,Su-35
420,7,1,Su-57
50,10,1,Su-57
160,8,1,Su-57
400,2,0,Su-35
330,5,1,Su-57
330,5,0,Su-35
270,3,0,Su-35
170,4,0,Su-35
600,8,1,Su-57
660,9,1,Su-57
520,6,1,Su-57
500,3,0,Su-35
470,6,1,Su-57
510,10,1,Su-57
440,4,0,Su-35
120,2,0,Su-35
70,5,0,Su-35
45,3,1,Su-57
20,8,1,Su-57
1000,10,1,Su-57
870,3,0,Su-35
750,2,0,Su-35
690,8,1,Su-57
990,2,0,Su-35
340,7,1,Su-57
250,3,0,Su-35
130,1,0,Su-35
110,4,0,Su-35
480,5,1,Su-57
770,7,1,Su-57
530,3,0,Su-35
220,1,0,Su-35
100,9,1,Su-57
600,7,1,Su-57
